60.017,60.097,60.035,58.623,58.824,58.373,58.374,58.367,58.361,55.977,55.965,58.38,58.407,58.456,58.449,,,,,,,
-13.02309637,-5.437266123,-2.740416073,-1.336456127,0,1.740800818,1.957025999,5.220954282,5.743895521,13.8680881,23.94907464,24.03771931,24.32984751,24.82868634,35.88220441,,,,,,,
J,J,,,,,,T1L,L,D1L,D1L,L,T1L,,,,,,,,,
54.119,54.451,54.19,53.534,53.517,53.984,54.41,54.09,52.965,52.939,52.967,54.081,54.478,54.76,54.379,53.735,53.769,54.343,54.526,53.925,53.921,
-13.31979183,-11.1875471,-10.25271377,-9.775307209,-9.209503292,-8.597098999,-6.639100587,-5.755680498,-4.870830698,-3.638219929,-2.340086804,-1.21930572,-0.371550319,0,0.883997308,1.586686954,2.276164045,2.8194679,3.986994788,4.778256692,9.61838287,
,,,J,J,L,T1,L,DL,L,DL,L,T1,,T1,S,S,J,J,,,
53.772,54.213,54.136,53.56,53.561,54.314,54.22,53.982,52.781,52.76,52.771,54.089,54.656,54.789,54.428,53.621,53.64,54.377,54.377,53.939,53.978,
-13.27016951,-11.19976417,-10.32235255,-9.781510366,-8.62843323,-8.086191811,-6.443079407,-5.788270986,-5.016164606,-3.960053385,-2.919531471,-2.141913313,-1.307008068,0,0.596143112,1.328624511,2.009252919,2.630620134,4.836400861,5.597969879,9.19885516,
,,,S,S,T1,T1,L,D,,D,L,T1,,T1,S,S,,,S,S,
54.439,54.41,54.259,53.471,53.437,54.25,54.342,53.964,52.802,52.811,52.811,53.946,54.298,54.679,54.407,54.214,53.625,53.624,54.384,54.383,53.96,53.926
-11.66003724,-10.45471448,-9.979561213,-9.41522738,-8.704291725,-7.891152071,-6.46626157,-5.711735127,-4.953125212,-3.920142433,-2.860969214,-2.214709814,-1.270902282,0,0.572710782,0.884564548,1.351620586,1.965622639,2.654484884,3.816971658,4.352566302,10.85243903
,,,S,S,T1,T1,L,D,,D,L,T1,,T1,T1,S,S,,,S,S
60.017,60.097,60.035,58.623,58.824,58.373,58.374,58.367,58.361,55.977,55.965,58.38,58.407,58.456,58.449,,,,,,,
-13.02309637,-5.437266123,-2.740416073,-1.336456127,0,1.740800818,1.957025999,5.220954282,5.743895521,13.8680881,23.94907464,24.03771931,24.32984751,24.82868634,35.88220441,,,,,,,
J,J,,,,,,T1L,L,D1L,D1L,L,T1L,,,,,,,,,
54.119,54.451,54.19,53.534,53.517,53.984,54.41,54.09,52.965,52.939,52.967,54.081,54.478,54.76,54.379,53.735,53.769,54.343,54.526,53.925,53.921,
-13.31979183,-11.1875471,-10.25271377,-9.775307209,-9.209503292,-8.597098999,-6.639100587,-5.755680498,-4.870830698,-3.638219929,-2.340086804,-1.21930572,-0.371550319,0,0.883997308,1.586686954,2.276164045,2.8194679,3.986994788,4.778256692,9.61838287,
,,,S,S,L,T1,L,D,,D,L,T1,,T1,S,S,,,,,
53.772,54.213,54.136,53.56,53.561,54.314,54.22,53.982,52.781,52.76,52.771,54.089,54.656,54.789,54.428,53.621,53.64,54.377,54.377,53.939,53.978,
-13.27016951,-11.19976417,-10.32235255,-9.781510366,-8.62843323,-8.086191811,-6.443079407,-5.788270986,-5.016164606,-3.960053385,-2.919531471,-2.141913313,-1.307008068,0,0.596143112,1.328624511,2.009252919,2.630620134,4.836400861,5.597969879,9.19885516,
,,,S,S,T1,T1,L,D,,D,L,T1,,T1,S,S,,,S,S,
54.439,54.41,54.259,53.471,53.437,54.25,54.342,53.964,52.802,52.811,52.811,53.946,54.298,54.679,54.407,54.214,53.625,53.624,54.384,54.383,53.96,53.926
-11.66003724,-10.45471448,-9.979561213,-9.41522738,-8.704291725,-7.891152071,-6.46626157,-5.711735127,-4.953125212,-3.920142433,-2.860969214,-2.214709814,-1.270902282,0,0.572710782,0.884564548,1.351620586,1.965622639,2.654484884,3.816971658,4.352566302,10.85243903
,,,S,S,T1,T1,L,D,,D,L,T1,,T1,T1,S,S,,,S,S
54.439,54.41,54.259,53.471,53.437,54.25,54.342,53.964,52.802,52.811,52.811,53.946,54.298,54.679,54.407,54.214,53.625,53.624,54.384,54.383,53.96,53.926
-11.66003724,-10.45471448,-9.979561213,-9.41522738,-8.704291725,-7.891152071,-6.46626157,-5.711735127,-4.953125212,-3.920142433,-2.860969214,-2.214709814,-1.270902282,0,0.572710782,0.884564548,1.351620586,1.965622639,2.654484884,3.816971658,4.352566302,10.85243903
,,,S,S,T1,T1,L,D,,D,L,T1,,T1,T1,S,S,,,S,S
